,game_size,match_mode,party_size,player_assists,player_dbno,player_dist_ride,player_dist_walk,player_dmg,player_kills,player_survive_time,team_placement
90,42,tpp,2,0,2,5049.5415,1254.5946,171,1,1112.022,17
91,42,tpp,2,1,0,5532.033,1008.91467,28,0,1112.018,17
92,42,tpp,2,0,0,0.0,116.733635,28,0,114.564,41
93,42,tpp,2,0,0,0.0,69.61520390000001,0,0,109.82,41
94,42,tpp,2,0,0,2771.51978,959.6527,0,0,592.815,14
95,42,tpp,2,0,0,6286.627,2187.56445,24,0,1172.156,14
96,42,tpp,2,0,1,440.622772,1504.64221,173,0,877.8489999999998,22
97,42,tpp,2,0,0,4.37397957,2662.14355,79,0,877.8539999999998,22
98,42,tpp,2,0,0,0.0,582.243164,0,0,828.747,32
99,42,tpp,2,0,0,0.0,98.74248,0,0,123.087,32
100,42,tpp,2,0,1,0.0,169.673462,116,1,210.24400000000003,35
101,42,tpp,2,1,0,0.0,156.22833300000005,79,0,239.295,35
102,42,tpp,2,0,1,5018.188,2345.1710000000007,205,2,1481.706,7
103,42,tpp,2,0,1,4430.64355,3082.4585,307,2,1511.434,7
104,42,tpp,2,0,0,0.0,254.51683,0,0,213.018,37
105,42,tpp,2,0,0,0.0,191.597855,61,0,181.645,37
106,42,tpp,2,0,2,3718.62939,1076.7323,462,2,910.447,20
107,42,tpp,2,0,2,3617.30615,1056.43176,224,3,835.5889999999998,20
108,42,tpp,2,0,0,0.0,153.609268,71,0,164.292,39
109,42,tpp,2,0,0,0.0,51.367054,10,0,118.39,39
110,42,tpp,2,0,2,0.0,50.04271,314,3,108.888,19
111,42,tpp,2,0,1,0.0,2007.986,403,4,944.534,19
112,42,tpp,2,0,1,4474.478,2405.00464,551,3,1892.275,4
113,42,tpp,2,0,4,4537.49,2723.42725,717,6,1892.279,4
114,42,tpp,2,0,0,0.0,0.0,0,0,789.7230000000002,42
115,42,tpp,2,0,1,5940.38672,3723.97949,231,3,1967.611,1
116,42,tpp,2,1,0,5249.20166,3517.9834,145,1,1967.611,1
117,42,tpp,2,2,2,4313.38525,2541.94238,255,3,1967.465,2
118,42,tpp,2,2,1,2340.462,4214.176,315,3,1967.471,2
119,42,tpp,2,0,0,994.657654,681.428345,44,1,648.58,27
120,42,tpp,2,1,2,994.4023,716.957642,270,1,653.266,27
121,42,tpp,2,0,0,0.0,374.5534,100,1,229.37,32
122,42,tpp,2,0,2,0.0,505.63266,299,3,346.76199999999994,32
123,42,tpp,2,0,1,0.0,509.607117,46,1,265.809,33
124,42,tpp,2,1,0,0.0,442.767029,82,0,265.807,33
125,42,tpp,2,0,0,0.0,3.8944726,0,0,790.7080000000002,39
126,42,tpp,2,0,0,0.0,45.8160248,0,0,89.945,42
127,42,tpp,2,0,0,0.0,23.4711552,0,0,89.94200000000002,42
128,42,tpp,2,0,2,1763.10767,1548.96155,171,2,1411.0379999999998,9
129,42,tpp,2,0,0,1759.54858,1693.56311,171,0,1411.0410000000004,9
130,42,tpp,2,0,0,3166.8474100000008,2484.05664,20,0,1141.859,16
131,42,tpp,2,0,0,2372.06885,2230.26123,18,0,1141.864,16
132,42,tpp,2,0,1,0.0,336.1623,99,1,266.26,30
133,42,tpp,2,0,0,0.0,560.5455,28,0,385.80300000000005,30
134,42,tpp,2,0,1,1196.89636,826.198,200,2,435.49300000000005,29
135,42,tpp,2,1,0,1422.4523900000004,657.5203,90,0,449.984,29
136,42,tpp,2,1,1,2455.95,1913.19092,287,2,1624.5870000000002,5
137,42,tpp,2,0,1,2386.67944,1733.49,93,2,1624.582,5
138,42,tpp,2,0,0,0.0,44.5884361,0,0,97.315,40
139,42,tpp,2,0,1,0.0,143.655945,100,1,117.172,40
140,42,tpp,2,0,0,3291.77222,2960.577,0,0,1281.74,11
141,42,tpp,2,0,0,3234.92,3159.89648,0,0,1281.745,11
142,42,tpp,2,0,0,0.0,267.801971,24,0,260.176,34
143,42,tpp,2,0,1,0.0,225.646851,187,0,260.178,34
144,42,tpp,2,1,0,0.809434533,3850.291,63,0,1419.2520000000004,8
145,42,tpp,2,0,0,1.230301,3880.43042,0,0,1387.429,8
146,42,tpp,2,0,0,0.0,795.2587,0,0,471.509,28
147,42,tpp,2,0,0,0.0,751.614746,0,0,471.512,28
148,42,tpp,2,0,1,1796.0642100000002,859.1481,96,1,669.0189999999999,26
149,42,tpp,2,0,0,0.0,0.0,0,0,791.732,26
150,42,tpp,2,2,1,7050.0107400000015,1932.81323,332,2,1964.995,3
151,42,tpp,2,0,3,6881.64,1822.42578,329,3,1905.614,3
152,42,tpp,2,2,1,1651.1344,1359.48218,148,1,1172.492,13
153,42,tpp,2,0,0,0.0,1054.2865,0,0,659.3489999999998,13
154,42,tpp,2,1,0,5623.69629,1513.09045,30,0,1532.934,6
155,42,tpp,2,0,2,5279.90332,1613.77112,357,5,1518.415,6
156,37,tpp,2,2,0,3185.81177,2835.24121,395,3,1873.689,1
157,37,tpp,2,0,3,3940.88379,2746.870360000001,414,4,1873.689,1
158,37,tpp,2,0,1,1458.43958,2617.17041,119,0,1535.031,8
159,37,tpp,2,0,1,790.975647,2481.24146,236,2,1475.292,8
160,37,tpp,2,0,1,0.0,177.1915,100,0,258.434,22
161,37,tpp,2,0,0,0.0,362.586243,0,0,496.037,22
162,37,tpp,2,1,0,2434.53271,1884.19958,108,2,1146.481,15
163,37,tpp,2,1,1,2431.719,1876.55737,221,2,1150.25,15
164,37,tpp,2,0,0,371.168671,1910.74219,0,0,855.255,18
165,37,tpp,2,0,0,0.0,1576.9519,0,0,863.808,18
166,37,tpp,2,0,0,0.0,568.0525,86,0,758.14,20
167,37,tpp,2,0,0,0.0,4446.62,0,0,1480.027,9
168,37,tpp,2,0,1,0.0,4636.03,173,2,1493.332,9
169,37,tpp,2,0,0,404.616364,392.337646,0,0,336.881,12
170,37,tpp,2,0,0,1114.53943,1729.42957,0,0,1182.289,12
171,37,tpp,2,2,0,0.0,1621.927,114,0,875.554,17
172,37,tpp,2,0,2,0.0,1448.86157,366,3,875.559,17
173,37,tpp,2,2,0,1091.10193,3451.331,211,1,1873.524,2
174,37,tpp,2,0,2,1093.50989,3305.347,260,2,1873.53,2
175,37,tpp,2,0,0,0.0,65.49654,9,0,143.201,16
176,37,tpp,2,0,1,0.0,1339.32593,213,2,1016.808,16
177,37,tpp,2,0,0,0.0,231.37324500000003,0,0,167.15,32
178,37,tpp,2,0,1,0.0,159.64793400000005,100,1,167.15400000000002,32
179,37,tpp,2,0,0,0.0,99.37661,0,0,163.31799999999996,29
180,37,tpp,2,0,1,0.0,75.80581,129,1,178.53599999999997,29
181,37,tpp,2,0,2,0.0,489.510773,300,2,613.817,21
182,37,tpp,2,0,1,0.0,514.650452,203,2,619.49,21
183,37,tpp,2,0,0,0.0,199.613556,52,0,284.9,26
184,37,tpp,2,0,0,0.0,278.32867400000003,0,0,239.814,26
185,37,tpp,2,0,0,0.0,46.3235321,0,0,104.958,36
186,37,tpp,2,0,0,0.0,41.914463,0,0,83.398,36
187,37,tpp,2,0,0,0.0,38.247,0,0,96.16,28
188,37,tpp,2,0,0,0.0,263.189,61,0,196.168,28
189,37,tpp,2,0,1,1321.678,2205.12622,335,2,1290.494,11
190,37,tpp,2,0,0,1284.145,2073.26147,83,1,1290.499,11
191,37,tpp,2,1,3,3686.153,3439.63525,399,3,1702.572,5
192,37,tpp,2,1,1,2898.13867,3396.765,349,4,1702.565,5
193,37,tpp,2,0,0,1860.12512,2526.40942,100,1,1766.5079999999996,3
194,37,tpp,2,0,1,2222.4841300000007,2408.196,221,2,1741.033,3
195,37,tpp,2,0,0,0.0,127.816376,40,0,274.894,27
196,37,tpp,2,0,0,0.0,113.565643,0,0,274.899,27
197,37,tpp,2,0,0,0.0,1310.68445,0,0,1167.037,23
198,37,tpp,2,0,0,0.0,158.099167,0,0,135.033,23
