,Unnamed: 0,killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
93,17059,P92,9.0,278584.5,567368.9,86,28.0,278498.1,567517.6
95,6477,Down and Out,34.0,463730.2,650258.4,86,50.0,464854.0,650214.2
87,1265,S686,89.0,622632.0,375983.1,86,94.0,621739.2,376738.2
92,11450,Crossbow,40.0,242734.3,438667.6,86,86.0,241992.9,438592.7
86,18502,S686,42.0,529100.3,627499.1,86,93.0,529357.6,627422.3
75,5285,SCAR-L,18.0,432331.2,636059.3,86,47.0,432404.1,636321.5
84,10675,S12K,5.0,686763.7,462801.2,86,44.0,686505.5,462873.7
85,5872,AKM,33.0,202854.0,284270.2,86,45.0,202591.7,284550.8
77,19002,SCAR-L,34.0,621358.2,296706.0,86,35.0,620851.7,296633.6
78,15732,Punch,94.0,346014.8,170837.9,86,99.0,345926.2,171048.5
79,13206,S12K,32.0,199305.3,291907.9,86,45.0,199776.2,292270.2
76,8885,Punch,17.0,624073.9,384729.7,86,19.0,624033.5,384800.8
81,13471,M416,31.0,456433.6,629571.9,86,48.0,456630.4,629817.9
82,15780,S1897,33.0,468524.4,639939.8,86,48.0,468493.3,640283.6
83,8239,M416,36.0,450821.3,621528.6,86,89.0,449378.0,621635.4
80,14442,S686,39.0,555860.4,129177.3,86,9.0,556163.5,129111.0
112,8870,Punch,7.0,442353.8,337998.2,87,12.0,442334.2,337910.3
111,15858,Down and Out,35.0,551016.4,629420.0,87,47.0,550309.0,629521.1
110,15839,SCAR-L,35.0,550759.8,629490.4,87,47.0,550436.8,629833.6
109,6739,Vector,49.0,551791.1,629513.1,87,95.0,551532.6,629725.5
108,5284,AKM,13.0,448025.6,621123.8,87,48.0,448283.5,621169.6
107,3031,Micro UZI,26.0,423363.9,324777.7,87,40.0,423373.7,324647.2
106,16036,Punch,42.0,625879.5,378588.2,87,41.0,625760.9,378427.0
105,8704,Down and Out,12.0,152232.3,315104.9,87,28.0,152091.1,315716.9
102,3888,Tommy Gun,31.0,221859.8,396394.8,87,42.0,220726.5,396182.2
103,22898,Mini 14,48.0,178936.6,306814.0,87,27.0,178326.1,306889.0
101,13829,AKM,26.0,164943.8,277550.1,87,24.0,164989.0,277496.8
100,15777,Mini 14,40.0,462885.2,645113.6,87,48.0,464718.7,645757.3
99,5367,AKM,89.0,362409.9,409173.3,87,94.0,361341.0,407237.9
98,9719,SCAR-L,70.0,420931.9,324401.4,87,88.0,421160.2,324532.1
97,7080,P92,20.0,344287.3,315354.2,87,45.0,344549.3,315637.6
96,17370,Tommy Gun,23.0,685124.3,462380.8,87,27.0,685547.7,461941.3
104,11170,Punch,21.0,158517.4,413922.1,87,42.0,158467.3,413991.2
126,21177,UMP9,2.0,447174.8,621062.9,88,26.0,445531.2,623077.3
125,23782,S12K,28.0,629160.3,613976.6,88,86.0,629184.3,614623.0
124,9738,S1897,82.0,422480.7,325136.7,88,87.0,422536.2,325077.6
123,9380,P92,26.0,626938.4,378330.4,88,20.0,626947.2,378158.9
122,14514,SCAR-L,50.0,337186.4,168642.8,88,31.0,337049.2,168936.6
121,1259,S686,23.0,436878.6,638909.2,88,28.0,436721.3,638750.8
120,6674,S12K,92.0,446098.3,622272.8,88,94.0,444983.6,622422.0
118,2759,P92,34.0,697684.9,343535.8,88,37.0,697959.7,343581.2
117,10671,SKS,28.0,629696.8,374095.8,88,49.0,629813.0,374297.4
116,2710,Punch,4.0,549962.3,629216.4,88,19.0,550017.6,629274.3
115,3288,P92,9.0,425517.7,326679.9,88,19.0,425441.3,326936.9
114,2663,S12K,25.0,631076.7,612111.8,88,18.0,631470.9,611689.4
113,8024,P1911,62.0,421217.5,324513.6,88,82.0,421188.7,324642.2
119,23200,S12K,27.0,201134.8,290675.8,88,21.0,200721.0,290575.2
141,8859,S1897,22.0,629904.9,374658.8,89,16.0,629618.3,374715.9
140,3194,S1897,26.0,160855.0,458255.6,89,58.0,160654.2,458629.0
